ABV,Appellation,Country,Id,Name,Producer,Region,Retail,Upc,Varietal,Vintage,color,image_url,professional_ratings,reference_url,volume_ml
14.5,NAPA VALLEY,United States,10060824,STAG'S LEAP ARTEMIS CABERNET SAUVIGNON,Stag's Leap Wine Cellars,California,89.99,88593700200,Cabernet Sauvignon,2019,red,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/jk9za5a208d6or3mjjrz.jpg","[{""source"": ""James Suckling"", ""score"": 93, ""max_score"": 100, ""note"": ""Cassis, dried blueberries, violets, ink, graphite, dried leaves and cigar box on the nose. Full-bodied with firm, polished tannins. Smooth and supple with excellent balance and length. Drink from 2023.""}, {""source"": ""Jeb Dunnuck"", ""score"": 91, ""max_score"": 100, ""note"": ""A terrific, well-priced Napa Cabernet, the 2019 Cabernet Sauvignon Artemis has a great nose of pure cassis fruits as well as tobacco, spring flowers, and a touch wet stone and graphite. Medium to full-bodied on the palate, it has a good sense of elegance and ripe tannins.""}, {""source"": ""Decanter"", ""score"": 91, ""max_score"": 100, ""note"": ""Aromas of cassis, cigar box and cocoa. Concentrated palate, with chocolate-covered cherry fruit flavours and fine-grained tannins. Lovely acidity. Blend : 99% Cabernet Sauvignon, 1% Cabernet Franc""}]",https://www.wine.com/product/stags-leap-wine-cellars-artemis-cabernet-sauvignon-2019/874274,750
12,,France,10060832,VEUVE CLICQUOT BRUT,Veuve Clicquot,Champagne,42.99,81753050221,Sparkling Blend,,sparkling,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/341366bbs.jpg","[{""source"": ""Wilfred Wong of Wine.com"", ""score"": 92, ""max_score"": 100, ""note"": ""Medium straw, yellow color; complex aromas of ripe apple and light cream, excellent depth and persistence; medium bodied, active and layered on the palate; dry, medium acidity, well balanced; bright and beautiful ripe fruit and cream in the flavors; medium finish, lasting impression in the aftertaste. Calls for petrale in a Champagne reduction sauce with fresh, savory herbs.""}, {""source"": ""James Suckling"", ""score"": 92, ""max_score"": 100, ""note"": ""Some oyster shell, berry biscuits, fresh strawberries and gently toasty brioche here. Lots to like. The palate is plump and flavorsome with plenty of berries and citrus intertwined. Good depth here. Grapefruit finish.""}, {""source"": ""Wine Spectator"", ""score"": 90, ""max_score"": 100, ""note"": ""This is tightly knit and racy, with a spicy underpinning and a clean-cut mix of poached pear, grated ginger and pink grapefruit zest. An aperitif style, showing a crisp, lacy finish. Drink now.""}]",https://www.wine.com/product/veuve-clicquot-yellow-label-brut-with-isothermic-gift-bag/341366,375
12,,France,10060833,VEUVE CLICQUOT BRUT NV,Veuve Clicquot,Champagne,69.99,81753050207,Sparkling Blend,,sparkling,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/ss3a7eatucpizjphtsck.jpg","[{""source"": ""Tasting Panel"", ""score"": 93, ""max_score"": 100, ""note"": ""At a glance, the iconic yellow label connotes and invites celebration and with one sip, the vibrant Pinot Noir-dominant wine inside invariably gets it underway Aromas of baked apple and quince are energetically dappled with salted almond and white blossom, while the fairly ty fleshy mouthfeel intersects neatly with firm acidity amid intimations of red berry and pastry""}, {""source"": ""James Suckling"", ""score"": 92, ""max_score"": 100, ""note"": ""This has aromas of grapefruit, citrus peel, quince, toast and almonds. It\u2019s medium-bodied with creamy, fine tannins. Silky texture. Nutty complexity at the end.""}, {""source"": ""Decanter"", ""score"": 91, ""max_score"": 100, ""note"": ""Noticeable fruit intensity and fresh notes of red fruits, fresh blueberries and a small amount of quince. Interesting and quite demanding.""}, {""source"": ""Wine Spectator"", ""score"": 90, ""max_score"": 100, ""note"": ""Lively, with tangy acidity and a zesty mousse, this aperitif-style Champagne shows notes of mandarin orange, blackberry, toast and a touch of pastry cream. Subtle, smoke-tinged finish.""}, {""source"": ""Wine Enthusiast"", ""score"": 90, ""max_score"": 100, ""note"": ""This ever-popular Champagne is getting imperceptibly drier. There is a fresh edge to it that is new and welcome. Crisp apple fruits give the wine a lift at the end.""}]",https://www.wine.com/product/veuve-clicquot-yellow-label-brut/528,750
12,,France,10060834,VEUVE CLICQUOT BRUT YELLOW LABEL,Veuve Clicquot,Champagne,169.99,81753810979,Sparkling Blend,,sparkling,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/341366bbs.jpg","[{""source"": ""Wilfred Wong of Wine.com"", ""score"": 92, ""max_score"": 100, ""note"": ""Medium straw, yellow color; complex aromas of ripe apple and light cream, excellent depth and persistence; medium bodied, active and layered on the palate; dry, medium acidity, well balanced; bright and beautiful ripe fruit and cream in the flavors; medium finish, lasting impression in the aftertaste. Calls for petrale in a Champagne reduction sauce with fresh, savory herbs.""}, {""source"": ""James Suckling"", ""score"": 92, ""max_score"": 100, ""note"": ""Some oyster shell, berry biscuits, fresh strawberries and gently toasty brioche here. Lots to like. The palate is plump and flavorsome with plenty of berries and citrus intertwined. Good depth here. Grapefruit finish.""}, {""source"": ""Wine Spectator"", ""score"": 90, ""max_score"": 100, ""note"": ""This is tightly knit and racy, with a spicy underpinning and a clean-cut mix of poached pear, grated ginger and pink grapefruit zest. An aperitif style, showing a crisp, lacy finish. Drink now.""}]",https://www.wine.com/product/veuve-clicquot-yellow-label-brut-with-isothermic-gift-bag/341366,1500
13.5,MONTEREY,United States,10060946,"LA CREMA CHARDONNAY MONTEREY""",La Crema,California,23.99,49331021094,Chardonnay,2023,white,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/isuu8qxtedpeegjo5sou.jpg","[{""source"": ""Wine Spectator"", ""score"": 89, ""max_score"": 100, ""note"": ""Smooth and plump, with an appealing seamlessness to the spice, melon, lemon zest and ripe peach flavors. There's a creamy, juicy quality that makes this white appealing and stylish. Lingering finish. Drink now. 253,505 cases made.""}]",https://www.wine.com/product/la-crema-monterey-chardonnay-2023/2061629,750
13.5,VENETO,Italy,10060948,ALLEGRINI PALAZZO DELLA TORRE,Allegrini,Veneto,24.99,812643020006,Red Blend,2019,red,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/dssgacybjxi7jzaksl6z.jpg","[{""source"": ""James Suckling"", ""score"": 93, ""max_score"": 100, ""note"": ""Intense nose with hints of coffee and black chocolate to the raspberry jam and dark cherries. Nicely dry and bitter with dark-chocolate character that extends to the long, polished finish with silky tannins. Drink or hold.""}]",https://www.wine.com/product/allegrini-palazzo-della-torre-2019/1177770,750
13.5,,Italy,10060952,VILLA ANTINORI TOSCANA ROSSO,Marchesi Antinori,Tuscany,24.99,88586002755,Sangiovese,2019,red,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/vnbarnv1ocpbq8sq7ehy.jpg","[{""source"": ""James Suckling"", ""score"": 92, ""max_score"": 100, ""note"": ""A floral and bright red with brambleberry character. Cedar, too. Medium body with very fine tannins that are polished and beautiful. Long and refined. So delicious. A complete and balanced Tuscan red. A blend of cabernet sauvignon, merlot, sangiovese, syrah and petit verdot. Drink now.""}, {""source"": ""Wine Spectator"", ""score"": 90, ""max_score"": 100, ""note"": ""Gains intensity from the cherry and blackberry flavors, which are augmented by earth, tobacco and menthol accents. The solid structure lends support and a vibrant feel. Sangiovese, Cabernet Sauvignon, Merlot and Syrah.""}, {""source"": ""Wine Enthusiast"", ""score"": 90, ""max_score"": 100, ""note"": ""This Sangiovese blended with Cabernet Sauvignon, Merlot and Syrah offers a nose of black cherry, chocolate, dirt and coffee grinds, with a palate of bing cherries, medicinal herbs and more coffee. A velvety richness is brought by easygoing tannins while bouncy acid gives a back palate reminiscent of a glass of Manhattan Special.""}]",https://www.wine.com/product/marchesi-antinori-villa-toscana-2019/938013,750
13,MARLBOROUGH,New Zealand,10060974,KIM CRAWFORD SAUVIGNON BLANC,Kim Crawford,South Island,19.99,689352009611,Sauvignon Blanc,2024,white,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/pqvm6cpgutpzpgh6bt6b.jpg","[{""source"": ""James Suckling"", ""score"": 90, ""max_score"": 100, ""note"": ""A crunchy and easy sauvignon blanc that delivers green-melon and apple aromas and flavors. It\u2019s medium-bodied, lightly sweet and crisp at the end. Nicely done.""}]",https://www.wine.com/product/kim-crawford-sauvignon-blanc-2024/3039933,750
14.4,NAPA VALLEY,United States,10061015,CAYMUS CABERNET SAUVIGNON,Caymus,California,119.99,17224712107,Cabernet Sauvignon,2020,red,"https://assets.wine.com/winecom/image/upload/w_600,h_400,dpr_2.0,c_fit,q_auto:good,fl_progressive/aieysyhe4fzjkeunbkzj.jpg","[{""source"": ""Wilfred Wong of Wine.com"", ""score"": 92, ""max_score"": 100, ""note"": ""COMMENTARY: The 2020 Caymus Vineyards Cabernet Sauvignon is full-framed and lasting on the palate. TASTING NOTES: This wine excels with aromas and flavors of sandalwood, black fruit, and oak. Serve it with an oven-baked eye of the round roast. (Tasted: July 18, 2022, San Francisco, CA)""}, {""source"": ""Wine Spectator"", ""score"": 91, ""max_score"": 100, ""note"": ""A crowd-pleaser, with boysenberry and acai berry fruit flavors streaming through, while a silky but persistent structure carries this through the chocolate-framed finish. Caressing in feel, with a subtle savory echo at the very end. Drink now through 2033. 141,348 cases made.""}]",https://www.wine.com/product/caymus-napa-valley-cabernet-sauvignon-2020/996340,750
14,,Italy,10061068,TIGNANELLO TOSCANA IGT '21,Marchesi Antinori,Tuscany,204.99,88586002465,Super Tuscan,2021,red,"https://assets.wine.com/winecom/image/upload/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/lrynvgar46ygc8mngprg.jpg","[{""source"": ""James Suckling"", ""score"": 97, ""max_score"": 100, ""note"": ""Violets and lavender with dark fruit and hints of dark chocolate. Sophisticated nose. Medium-bodied with fine tannin structure that gives this finesse and beauty. It\u2019s very long and goes on for minutes. Precision.""}, {""source"": ""Wine Enthusiast"", ""score"": 96, ""max_score"": 100, ""note"": ""Delightfully approachable on the nose right away, with warm mocha notes and cool graphite aromas against Bing and black cherries. The palate is equally outrageously delicious and easy to love even in its unbridled youth, with more cherries, blackberries, raspberries and chocolate inside a framework of tannins made to measure and acid built like an invisible force field.""}, {""source"": ""Robert Parker's Wine Advocate"", ""score"": 95, ""max_score"": 100, ""note"": ""Newly on the market now, the 2020 Tignanello shows a gorgeous bouquet with an upfront and accessible personality. Right off the bat, you get dark cherry, dried raspberry, spice, toasted almond and citrusy blood orange. The blend is normally 75% to 80% Sangiovese with 7% Cabernet Franc. The grape in between, making up 13% to 18%, is Cabernet Sauvignon. This vintage is very pretty and won\u2019t require a long wait. The tannins are sweet and silky. \u201cTignanello proves itself as a great vineyard site in both the challenging and the classic years,\u201d says Managing Director Renzo Cotarella.""}, {""source"": ""Wine Spectator"", ""score"": 94, ""max_score"": 100, ""note"": ""A concentrated red, with black cherry, blackberry, iron, tobacco and vanilla flavors framed by sweet spices and toast accents. Ends with mouthcoating tannins, yet is pretty well-balanced overall. Alluring and classy.""}]",https://www.wine.com/product/marchesi-antinori-tignanello-2020/1442536,750
